1002a	54,997930979	82,743250300	
1002b	54,997250436	82,743449742	
1003a	54,997934529	82,743328594	
1003b	54,997256333	82,743527200	
1004a	54,997938171	82,743406737	
1004b	54,997262321	82,743604661	
1005a	54,997941723	82,743484876	
1005b	54,997268218	82,743682119	
1006a	54,997945275	82,743563014	
1006b	54,997274206	82,743759580	
1007a	54,997948917	82,743641157	
1007b	54,997280103	82,743837038	
1008a	54,997952469	82,743719296	
1008b	54,997286090	82,743914500	
1009a	54,997956018	82,743797590	
1009b	54,997291988	82,743991958	
1010a	54,997959660	82,743875733	
1010b	54,997297975	82,744069419	
1011a	54,997963212	82,743953872	
1011b	54,997303870	82,744147033	
1012a	54,997966763	82,744032011	
1012b	54,997309857	82,744224495	
1013a	54,997970405	82,744110153	
1013b	54,997315754	82,744301953	
1014a	54,997973956	82,744188292	
1014b	54,997321741	82,744379415	
