1001a	54,073123700	83,257772256	
1001b	54,012553561	83,382365983	
1002a	54,076214723	83,263401560	
1002b	54,016087341	83,387075486	
1003a	54,079305475	83,269031547	
1003b	54,019620924	83,391785944	
1004a	54,082395954	83,274662369	
1004b	54,023154311	83,396497204	
1005a	54,085486160	83,280294028	
1005b	54,026687416	83,401209109	
1006a	54,088576092	83,285926524	
1006b	54,030220413	83,405921975	
1007a	54,091665751	83,291559855	
1007b	54,033753218	83,410635491	
1008a	54,094755225	83,297194029	
1008b	54,037285825	83,415349963	
1009a	54,097844336	83,302829034	
1009b	54,040818236	83,420065238	
1010a	54,100933173	83,308464875	
1010b	54,044350455	83,424781164	
1011a	54,104021736	83,314101554	
1011b	54,047882475	83,429498047	
1012a	54,107110024	83,319739071	
1012b	54,051414303	83,434215581	
1013a	54,110198039	83,325377424	
1013b	54,054945842	83,438934067	
1014a	54,113285779	83,331016615	
1014b	54,058477276	83,443653362	
1015a	54,116373245	83,336656643	
1015b	54,062008517	83,448373309	
1016a	54,119839496	83,341516840	
1016b	54,065539559	83,453094214	
1017a	54,123382688	83,346218972	
1017b	54,069070408	83,457815772	
1018a	54,126925775	83,350921916	
1018b	54,072601058	83,462538287	
1019a	54,130468579	83,355625661	
1019b	54,076131515	83,467261455	
1020a	54,134011188	83,360330212	
1020b	54,079661773	83,471985581	
1021a	54,137553696	83,365035423	
1021b	54,083191745	83,476710508	
1022a	54,141095918	83,369741588	
1022b	54,086721613	83,481436093	
1023a	54,144638034	83,374448566	
1023b	54,090251283	83,486162638	
1024a	54,148179867	83,379156346	
1024b	54,093780758	83,490889836	
1025a	54,151721505	83,383864934	
1025b	54,097310035	83,495617994	
1026a	54,155263038	83,388574335	
1026b	54,100839114	83,500346958	
1027a	54,158804291	83,393284386	
1027b	54,104368001	83,505076577	
1028a	54,162345435	83,397995403	
1028b	54,107896687	83,509807156	
1029a	54,165886295	83,402707224	
1029b	54,111425090	83,514538384	
1030a	54,169426960	83,407419853	
1030b	54,114953383	83,519270578	
1031a	54,172967519	83,412133296	
1031b	54,118481479	83,524003580	
1032a	54,176507795	83,416847544	
1032b	54,122009381	83,528737238	
1033a	54,180047968	83,421562453	
1033b	54,125537083	83,533471856	
1034a	54,183587853	83,426278319	
1034b	54,129064591	83,538207130	
1035a	54,187127633	83,430995000	
1035b	54,132591899	83,542943366	
1036a	54,190667128	83,435712486	
1036b	54,136118923	83,547680252	
1037a	54,194206427	83,440430783	
1037b	54,139645836	83,552418105	
1038a	54,197745621	83,445149894	
1038b	54,143172551	83,557156768	
1039a	54,201284533	83,449869658	
1039b	54,146699073	83,561896088	
1040a	54,204823336	83,454590391	
1040b	54,150225393	83,566636370	
1041a	54,208361854	83,459311930	
1041b	54,153751520	83,571377309	
1042a	54,211900176	83,464034280	
1042b	54,157277445	83,576119211	
1043a	54,215593577	83,468438112	
1043b	54,160803173	83,580861924	
1044a	54,219425010	83,472558713	
1044b	54,164328616	83,585605289	
1045a	54,223256295	83,476679932	
1045b	54,167853948	83,590349623	
1046a	54,227087336	83,480802069	
1046b	54,171379085	83,595094615	
1047a	54,230918318	83,484924828	
1047b	54,174904021	83,599840571	
1048a	54,234749145	83,489048511	
1048b	54,178428759	83,604587338	
1049a	54,238579824	83,493172813	
1049b	54,181953301	83,609334764	
1050a	54,242410259	83,497298033	
1050b	54,185477643	83,614083155	
1051a	54,246240635	83,501423877	
1051b	54,189001789	83,618832204	
1052a	54,250070855	83,505550645	
1052b	54,192525644	83,623582213	
1053a	54,253900927	83,509678033	
1053b	54,196049393	83,628332888	
1054a	54,257730758	83,513806187	
1054b	54,199572941	83,633084528	
1055a	54,261560523	83,517935272	
1055b	54,203096290	83,637836980	
1056a	54,265390139	83,522064977	
1056b	54,206619443	83,642590093	
1057a	54,269219600	83,526195608	
1057b	54,210142395	83,647344172	
1058a	54,273048822	83,530326853	
