1a	19650697.3	6926172.5	
1b	19655001.4	6926368.7	
2a	19650699.5	6926122.6	
2b	19655003.7	6926318.8	
3a	19650701.8	6926072.6	
3b	19655006	6926268.8	
4a	19650704	6926022.7	
4b	19655008.3	6926218.9	
5a	19650706.3	6925972.7	
5b	19655010.7	6926169	
6a	19650708.5	6925922.8	
6b	19655013	6926119	
7a	19650710.8	6925872.8	
7b	19655015.3	6926069.1	
8a	19650713	6925822.9	
8b	19655017.6	6926019.1	
9a	19650715.3	6925772.9	
9b	19655019.9	6925969.2	
10a	19650717.5	6925723	
10b	19655022.3	6925919.2	
11a	19650719.8	6925673.1	
11b	19655024.6	6925869.3	
12a	19650722	6925623.1	
12b	19655026.9	6925819.3	
13a	19650724.3	6925573.2	
13b	19655029.2	6925769.4	
14a	19650726.5	6925523.2	
14b	19655031.6	6925719.4	
15a	19650728.8	6925473.3	
15b	19655033.9	6925669.5	
16a	19650731	6925423.3	
16b	19655036.2	6925619.5	
17a	19650733.3	6925373.4	
17b	19655038.5	6925569.6	
18a	19650735.5	6925323.4	
18b	19655040.8	6925519.7	
19a	19650737.8	6925273.5	
19b	19655043.2	6925469.7	
20a	19650740	6925223.5	
20b	19655045.5	6925419.8	
21a	19650742.2	6925173.6	
21b	19655047.8	6925369.8	
22a	19650744.5	6925123.6	
22b	19655050.1	6925319.9	
23a	19650746.7	6925073.7	
23b	19655052.5	6925269.9	
24a	19650749	6925023.7	
24b	19655054.8	6925220	
25a	19650751.2	6924973.8	
25b	19655057.1	6925170	
26a	19650753.5	6924923.8	
26b	19655059.4	6925120.1	
27a	19650755.7	6924873.9	
27b	19655061.8	6925070.1	
28a	19650758	6924823.9	
28b	19655064.1	6925020.2	
29a	19650760.2	6924774	
29b	19655066.4	6924970.2	
30a	19650762.5	6924724	
30b	19655068.7	6924920.3	
31a	19650764.7	6924674.1	
31b	19655071	6924870.4	
32a	19650767	6924624.1	
32b	19655073.4	6924820.4	
33a	19650769.2	6924574.2	
33b	19655075.7	6924770.5	
34a	19650771.5	6924524.2	
34b	19655078	6924720.5	
35a	19650773.7	6924474.3	
35b	19655080.3	6924670.6	
36a	19650776	6924424.3	
36b	19655082.7	6924620.6	
37a	19650778.2	6924374.4	
37b	19655085	6924570.7	
38a	19650780.5	6924324.4	
38b	19655087.3	6924520.7	
39a	19650782.7	6924274.5	
39b	19655089.6	6924470.8	
40a	19650785	6924224.5	
40b	19655091.9	6924420.8	
41a	19650787.2	6924174.6	
41b	19655094.3	6924370.9	
42a	19650789.5	6924124.6	
42b	19655096.6	6924321	
43a	19650791.7	6924074.7	
43b	19655098.9	6924271	
44a	19650794	6924024.7	
44b	19655101.2	6924221.1	
45a	19650796.2	6923974.8	
45b	19655103.6	6924171.1	
46a	19650798.5	6923924.8	
46b	19655105.9	6924121.2	
47a	19650800.7	6923874.9	
47b	19655108.2	6924071.2	
48a	19650803	6923824.9	
48b	19655110.5	6924021.3	
49a	19650805.2	6923775	
49b	19655112.9	6923971.3	
50a	19650807.5	6923725	
50b	19655115.2	6923921.4	
51a	19650809.7	6923675.1	
51b	19655117.5	6923871.4	
52a	19650811.9	6923625.1	
52b	19655119.8	6923821.5	
53a	19650814.2	6923575.2	
53b	19655122.1	6923771.5	
54a	19650816.4	6923525.2	
54b	19655124.5	6923721.6	
55a	19650818.7	6923475.3	
55b	19655126.8	6923671.7	
56a	19650820.9	6923425.3	
56b	19655129.1	6923621.7	
57a	19650823.2	6923375.4	
57b	19655131.4	6923571.8	
58a	19650825.4	6923325.4	
58b	19655133.8	6923521.8	
59a	19650827.7	6923275.5	
59b	19655136.1	6923471.9	
60a	19650829.9	6923225.5	
60b	19655138.4	6923421.9	
61a	19650832.2	6923175.6	
61b	19655140.7	6923372	
62a	19650834.4	6923125.6	
62b	19655143.1	6923322	
63a	19650836.7	6923075.7	
63b	19655145.4	6923272.1	
64a	19650838.9	6923025.7	
64b	19655147.7	6923222.1	
65a	19650841.2	6922975.8	
65b	19655150	6923172.2	
66a	19650843.4	6922925.8	
66b	19655152.3	6923122.2	
67a	19650845.7	6922875.9	
67b	19655154.7	6923072.3	
68a	19650847.9	6922825.9	
68b	19655157	6923022.4	
69a	19650850.2	6922776	
69b	19655159.3	6922972.4	
70a	19650852.4	6922726	
70b	19655161.6	6922922.5	
71a	19650854.7	6922676.1	
71b	19655164	6922872.5	
72a	19650856.9	6922626.1	
72b	19655166.3	6922822.6	
73a	19650859.2	6922576.2	
73b	19655168.6	6922772.6	
74a	19650861.4	6922526.2	
74b	19655170.9	6922722.7	
75a	19650863.7	6922476.3	
75b	19655173.2	6922672.7	
76a	19650865.9	6922426.3	
76b	19655175.6	6922622.8	
77a	19650868.2	6922376.4	
77b	19655177.9	6922572.8	
78a	19650870.4	6922326.4	
78b	19655180.2	6922522.9	
79a	19650872.7	6922276.5	
79b	19655182.5	6922472.9	
80a	19650874.9	6922226.5	
80b	19655184.9	6922423	
