1001a	14647822,30	5996454,57	
1001b	14656203,13	5989982,08	
1002a	14648179,70	5996810,31	
1002b	14656498,52	5990385,70	
1003a	14648537,09	5997166,05	
1003b	14656793,92	5990789,32	
1004a	14648894,48	5997521,79	
1004b	14657089,32	5991192,94	
1005a	14649251,87	5997877,53	
1005b	14657384,71	5991596,55	
1006a	14649609,26	5998233,27	
1006b	14657680,11	5992000,17	
1007a	14649966,65	5998589,01	
1007b	14657975,50	5992403,79	
1008a	14650324,04	5998944,76	
1008b	14658270,90	5992807,41	
1009a	14650681,43	5999300,50	
1009b	14658566,30	5993211,03	
1010a	14651038,82	5999656,24	
1010b	14658861,69	5993614,65	
1011a	14651396,21	6000011,98	
1011b	14659157,09	5994018,27	
1012a	14651753,60	6000367,72	
1012b	14659452,48	5994421,89	
1013a	14652110,99	6000723,46	
1013b	14659747,88	5994825,50	
1014a	14652468,38	6001079,20	
1014b	14660043,28	5995229,12	
1015a	14652825,77	6001434,94	
1015b	14660338,67	5995632,74	
1016a	14653130,73	6001831,17	
1016b	14660634,07	5996036,36	
1017a	14653425,02	6002235,64	
1017b	14660929,46	5996439,98	
1018a	14653719,31	6002640,12	
1018b	14661224,86	5996843,60	
1019a	14654013,60	6003044,59	
1019b	14661520,25	5997247,22	
1020a	14654307,89	6003449,06	
1020b	14661815,65	5997650,84	
1021a	14654602,17	6003853,54	
1021b	14662111,05	5998054,45	
1022a	14654896,46	6004258,01	
1022b	14662406,44	5998458,07	
1023a	14655190,75	6004662,49	
1023b	14662701,84	5998861,69	
1024a	14655485,04	6005066,96	
1024b	14662997,23	5999265,31	
1025a	14655779,33	6005471,43	
1025b	14663292,63	5999668,93	
1026a	14656073,62	6005875,91	
1026b	14663588,03	6000072,55	
1027a	14656367,90	6006280,38	
1027b	14663883,42	6000476,17	
1028a	14656662,19	6006684,86	
1028b	14664178,82	6000879,79	
1029a	14656956,48	6007089,33	
1029b	14664474,21	6001283,40	
1030a	14657250,77	6007493,80	
1030b	14664769,61	6001687,02	
1031a	14657545,06	6007898,28	
1031b	14665065,01	6002090,64	
1032a	14657839,35	6008302,75	
1032b	14665360,40	6002494,26	
1033a	14658133,63	6008707,23	
1033b	14665655,80	6002897,88	
1034a	14658427,92	6009111,70	
1034b	14665951,19	6003301,50	
1035a	14658722,21	6009516,18	
1035b	14666246,59	6003705,12	
1036a	14659016,50	6009920,65	
1036b	14666541,98	6004108,73	
1037a	14659310,79	6010325,12	
1037b	14666837,38	6004512,35	
1038a	14659605,08	6010729,60	
1038b	14667132,78	6004915,97	
1039a	14659899,36	6011134,07	
1039b	14667428,17	6005319,59	
1040a	14660193,65	6011538,55	
1040b	14667723,57	6005723,21	
1041a	14660487,94	6011943,02	
1041b	14668018,96	6006126,83	
1042a	14660782,23	6012347,49	
1042b	14668314,36	6006530,45	
1043a	14661055,09	6012768,51	
1043b	14668609,76	6006934,07	
1044a	14661308,89	6013204,26	
1044b	14668905,15	6007337,68	
1045a	14661562,68	6013640,01	
1045b	14669200,55	6007741,30	
